Account ID Full,Account Name,Legal Name (BvD),Country,Region,Reporting Group,Ultimate Parent,Account Owner,Parent Account
001Ab000002rOSIIA2,?iauli? Bankas,Siauliu Bankas,Lithuania,EMEA,Siauliu Bankas,SIAULIU BANKAS,Fenergo RevOps,
001Ab000002rNUgIAM,¡QuéBueno!,,Spain,EMEA,QueBueno,¡QuéBueno!,Fenergo RevOps,
001Ab000002rMtIIAU,10bet (TM),Blue Star Planet LTD,Malta,EMEA,10bet,BLUE STAR PLANET LTD,Fenergo RevOps,
001Ab000002rNvSIAU,10xBanking,10X Banking Technology Limited,United Kingdom,EMEA,10xBanking,10X BANKING TECHNOLOGY HOLDINGS LIMITED,Fenergo RevOps,
001Ab000003nAS4IAM,130 Servicing S.P.A.,,Italy,EMEA,130 Servicing,130 Servicing S.P.A.,Fenergo RevOps,
001Ab000003q9vwIAA,1741 Group,1741 Fund Solutions AG,Switzerland,EMEA,1741 Group,1741 Fund Solutions AG,David Warnock,
001Ab000002xRndIAE,1832 Asset Management,1832 Asset Management U.S. Inc.,Canada,AMER,1832 Asset Management,BANK OF NOVA SCOTIA,Gregory Fleming,Scotiabank
001Ab000002rOwrIAE,1875 Finance Luxembourg,1875 Finance (Luxembourg) S.A.,Luxembourg,EMEA,1875 Finance Luxembourg,1875 FINANCE HOLDING AG,Fenergo RevOps,
001SZ000009Sk9HYAS,1POINT6,1point6,France,EMEA,1POINT6,1point6,Fenergo RevOps,
0012000001WUUiBAAX,1st Bank & Trust E Texas,First Bank & Trust East Texas,United States,AMER,1st Bank & Trust ? East Texas,First Bank & Trust East Texas,Fenergo RevOps,
0012000001WUVACAA5,1st Bank Yuma,1st Bank Yuma,United States,AMER,1st Bank Yuma,"WESTERN ARIZONA BANCORP, INC.",Fenergo RevOps,
0012000001WUVK0AAP,1st Farm Credit Services,1st Farm Credit Services ACA,United States,AMER,1st Farm Credit Services,1st Farm Credit Services ACA,Fenergo RevOps,
0012000001WUV7jAAH,1st Mariner Bank,First Mariner Bank Inc.,United States,AMER,FNB Corporation,FNB CORPORATION,Fenergo RevOps,F.N.B. Corporation
001SZ00000ODFl7YAH,1st National Bank St. Lucia,1st National Bank St. Lucia Limited,Saint Lucia,AMER,1st National Bank St Lucia,1st National Bank St. Lucia Limited,Fenergo RevOps,
0012000001WUVO2AAP,1st Security Bank of Washington,1ST Security Bank of Washington,United States,AMER,1st Security Bank of Washington,1ST SECURITY BANK OF WASHINGTON,Fenergo RevOps,
0012000001WUV8hAAH,1st Source Bank,1st Source Bank,United States,AMER,1st Source Bank,1ST SOURCE CORPORATION,Fenergo RevOps,
0012000001WUVOOAA5,1st United Bank,"1st United Bank, Florida",United States,AMER,1st United Bank,"1st United Bank, Florida",Fenergo RevOps,
001SZ00000MO2wtYAD,1stMILE,1stmile LLC,United States,AMER,1stMILE,1stmile LLC,Fenergo RevOps,
001SZ00000v0jKTYAY,360 Treasury Systems AG,360 Treasury Systems AG,Germany,EMEA,Deutsche Boerse,Deutsche Börse Group,Stephen Florence,Deutsche Boerse AG
001SZ000009pyWWYAY,3G Capital,3G Capital Inc.,United States,AMER,3G Capital,RESTAURANT BRANDS INTERNATIONAL INC.,Fenergo RevOps,
001Ab000002rNClIAM,3S Money,3S Money Club Limited,United Kingdom,EMEA,3S Money,3S MONEY CLUB LIMITED,Fenergo RevOps,
001Ab000002rP7nIAE,4finance,AS 4finance,Latvia,EMEA,Tirona,TIRONA LIMITED,Fenergo RevOps,
001Ab000003jXwkIAE,4Pines,,United States,AMER,4Pines,4Pines,Fenergo RevOps,
001Ab000002rOuDIAU,4T Mobile Payments,4T af 1. Oktober 2012 ApS,Denmark,EMEA,4T Mobile Payments,4T af 1. Oktober 2012 ApS,Fenergo RevOps,
001SZ000007GrduYAC,6 Monks,6 Monks (6M),Luxembourg,EMEA,6 Monks,BOCHSLER GROUPE (GROUPE B) SA,Fenergo RevOps,
001SZ00000Nmd9xYAB,61 Commodities,SIX ONE Commodities LLC,United States,AMER,61 Commodities,SIX ONE Commodities LLC,Fenergo RevOps,
001SZ00000GYFppYAH,8VC,"Eight Enterprises, LLC",United States,AMER,8VC,"EIGHT ENTERPRISES, LLC",Fenergo RevOps,
001Ab000003ejyzIAA,A&G Banco,"A&G Banca Privada, S.A.",Spain,EMEA,A&G Banco,ASESORES Y GESTORES FINANCIEROS SA,Fenergo RevOps,
001Ab000003qQnUIAU,a.s.r. Asset Management,ASR Vermogensbeheer N.V.,Netherlands,EMEA,ASR Nederland,ASR NEDERLAND NV,Fenergo RevOps,
001Ab000003qcypIAA,a.s.r. Real Estate,ASR Real Estate B.V.,Netherlands,EMEA,ASR Nederland,ASR NEDERLAND NV,Fenergo RevOps,
001Ab000002rNkLIAU,A1,A1 Hrvatska d.o.o.,Croatia,EMEA,A1,AMERICA MOVIL S.A.B. DE C.V.,Fenergo RevOps,
0012000001WUVN3AAP,Aareal Bank AG,Aareal Bank AG,Germany,EMEA,Aareal Bank,ATLANTIC LUX HOLDCO S.À R.L.,Alexander Hase,
0012000001WUUcSAAX,Aargauische Kantonalbank,Aargauische Kantonalbank,Switzerland,EMEA,Aargauische Kantonalbank,KANTON AARGAU,Roger Leahy,
001Ab000003kAYpIAM,Abacus,Abacus Financial Services Limited,United Kingdom,EMEA,Abacus,Abacus Financial Services Limited,David Warnock,
0013X00003pDb33QAC,Abanca Corporacion Bancaria,Abanca Corporacion Bancaria SA,Spain,EMEA,Abanca,ABANCA CORPORACION BANCARIA SA,Alexander Hase,
